Temperature,max_iters,problem_size,t_pct,decay_type,max_attempts,run_number,group_timestamp,max_fitness,total_iterations,max_fevals,runtime
1,10000,20,0.4,exp_decay,100,0,1718941035,20.0,605,824.0,0.0364034159865696
1,10000,20,0.4,exp_decay,100,1,1718941035,20.0,605,824.0,0.0364034159865696
1,10000,20,0.4,exp_decay,100,2,1718941035,20.0,605,824.0,0.0364034159865696
1,10000,20,0.4,geom_decay,100,0,1718941037,20.0,504,704.0,0.0247090420161839
1,10000,20,0.4,geom_decay,100,1,1718941037,20.0,504,704.0,0.0247090420161839
1,10000,20,0.4,geom_decay,100,2,1718941037,20.0,504,704.0,0.0247090420161839
1,10000,20,0.4,arith_decay,100,0,1718941038,20.0,1570,1922.0,0.2089184170181397
1,10000,20,0.4,arith_decay,100,1,1718941038,20.0,1570,1922.0,0.2089184170181397
1,10000,20,0.4,arith_decay,100,2,1718941038,20.0,1570,1922.0,0.2089184170181397
10,10000,20,0.4,exp_decay,100,0,1718941039,31.0,900,1421.0,0.0727701249998062
10,10000,20,0.4,exp_decay,100,1,1718941039,31.0,900,1421.0,0.0727701249998062
10,10000,20,0.4,exp_decay,100,2,1718941039,31.0,900,1421.0,0.0727701249998062
10,10000,20,0.4,geom_decay,100,0,1718941041,20.0,499,761.0,0.0246662919817026
10,10000,20,0.4,geom_decay,100,1,1718941041,20.0,499,761.0,0.0246662919817026
10,10000,20,0.4,geom_decay,100,2,1718941041,20.0,499,761.0,0.0246662919817026
10,10000,20,0.4,arith_decay,100,0,1718941042,17.0,10000,19835.0,8.309305457980372
10,10000,20,0.4,arith_decay,100,1,1718941042,17.0,10000,19835.0,8.309305457980372
10,10000,20,0.4,arith_decay,100,2,1718941042,17.0,10000,19835.0,8.309305457980372
100,10000,20,0.4,exp_decay,100,0,1718941067,20.0,1305,2213.0,0.151128792000236
100,10000,20,0.4,exp_decay,100,1,1718941067,20.0,1305,2213.0,0.151128792000236
100,10000,20,0.4,exp_decay,100,2,1718941067,20.0,1305,2213.0,0.151128792000236
100,10000,20,0.4,geom_decay,100,0,1718941069,20.0,884,1486.0,0.0715147500159218
100,10000,20,0.4,geom_decay,100,1,1718941069,20.0,884,1486.0,0.0715147500159218
100,10000,20,0.4,geom_decay,100,2,1718941069,20.0,884,1486.0,0.0715147500159218
100,10000,20,0.4,arith_decay,100,0,1718941070,14.0,10000,19985.0,8.250889500021003
100,10000,20,0.4,arith_decay,100,1,1718941070,14.0,10000,19985.0,8.250889500021003
100,10000,20,0.4,arith_decay,100,2,1718941070,14.0,10000,19985.0,8.250889500021003
1000,10000,20,0.4,exp_decay,100,0,1718941096,20.0,1772,3165.0,0.2724945830123033
1000,10000,20,0.4,exp_decay,100,1,1718941096,20.0,1772,3165.0,0.2724945830123033
1000,10000,20,0.4,exp_decay,100,2,1718941096,20.0,1772,3165.0,0.2724945830123033
1000,10000,20,0.4,geom_decay,100,0,1718941098,31.0,909,1609.0,0.074835666018771
1000,10000,20,0.4,geom_decay,100,1,1718941098,31.0,909,1609.0,0.074835666018771
1000,10000,20,0.4,geom_decay,100,2,1718941098,31.0,909,1609.0,0.074835666018771
1000,10000,20,0.4,arith_decay,100,0,1718941100,31.0,10000,19999.0,8.282504291011719
1000,10000,20,0.4,arith_decay,100,1,1718941100,31.0,10000,19999.0,8.282504291011719
1000,10000,20,0.4,arith_decay,100,2,1718941100,31.0,10000,19999.0,8.282504291011719
10000,10000,20,0.4,exp_decay,100,0,1718941126,20.0,2206,4003.0,0.4155627079890109
10000,10000,20,0.4,exp_decay,100,1,1718941126,20.0,2206,4003.0,0.4155627079890109
10000,10000,20,0.4,exp_decay,100,2,1718941126,20.0,2206,4003.0,0.4155627079890109
10000,10000,20,0.4,geom_decay,100,0,1718941128,20.0,1177,2117.0,0.123393624991877
10000,10000,20,0.4,geom_decay,100,1,1718941128,20.0,1177,2117.0,0.123393624991877
10000,10000,20,0.4,geom_decay,100,2,1718941128,20.0,1177,2117.0,0.123393624991877
1,10000,30,0.4,exp_decay,150,0,1718941166,30.0,694,958.0,0.04693824998685159
1,10000,30,0.4,exp_decay,150,1,1718941166,30.0,694,958.0,0.04693824998685159
1,10000,30,0.4,exp_decay,150,2,1718941166,30.0,694,958.0,0.04693824998685159
1,10000,30,0.4,geom_decay,150,0,1718941168,30.0,553,727.0,0.030283667001640424
1,10000,30,0.4,geom_decay,150,1,1718941168,30.0,553,727.0,0.030283667001640424
1,10000,30,0.4,geom_decay,150,2,1718941168,30.0,553,727.0,0.030283667001640424
1,10000,30,0.4,arith_decay,150,0,1718941169,30.0,2787,3514.0,0.6429819170152768
1,10000,30,0.4,arith_decay,150,1,1718941169,30.0,2787,3514.0,0.6429819170152768
1,10000,30,0.4,arith_decay,150,2,1718941169,30.0,2787,3514.0,0.6429819170152768
10,10000,30,0.4,exp_decay,150,0,1718941172,30.0,1267,1946.0,0.1396680410252884
10,10000,30,0.4,exp_decay,150,1,1718941172,30.0,1267,1946.0,0.1396680410252884
10,10000,30,0.4,exp_decay,150,2,1718941172,30.0,1267,1946.0,0.1396680410252884
10,10000,30,0.4,geom_decay,150,0,1718941174,30.0,804,1184.0,0.059987957996781915
10,10000,30,0.4,geom_decay,150,1,1718941174,30.0,804,1184.0,0.059987957996781915
10,10000,30,0.4,geom_decay,150,2,1718941174,30.0,804,1184.0,0.059987957996781915
10,10000,30,0.4,arith_decay,150,0,1718941175,14.0,10000,19898.0,8.203502791991923
10,10000,30,0.4,arith_decay,150,1,1718941175,14.0,10000,19898.0,8.203502791991923
10,10000,30,0.4,arith_decay,150,2,1718941175,14.0,10000,19898.0,8.203502791991923
100,10000,30,0.4,exp_decay,150,0,1718941202,30.0,1769,3044.0,0.26525870797922835
100,10000,30,0.4,exp_decay,150,1,1718941202,30.0,1769,3044.0,0.26525870797922835
100,10000,30,0.4,exp_decay,150,2,1718941202,30.0,1769,3044.0,0.26525870797922835
100,10000,30,0.4,geom_decay,150,0,1718941204,30.0,1079,1714.0,0.10162670799763873
100,10000,30,0.4,geom_decay,150,1,1718941204,30.0,1079,1714.0,0.10162670799763873
100,10000,30,0.4,geom_decay,150,2,1718941204,30.0,1079,1714.0,0.10162670799763873
100,10000,30,0.4,arith_decay,150,0,1718941206,13.0,10000,19991.0,8.169969584007049
100,10000,30,0.4,arith_decay,150,1,1718941206,13.0,10000,19991.0,8.169969584007049
100,10000,30,0.4,arith_decay,150,2,1718941206,13.0,10000,19991.0,8.169969584007049
1000,10000,30,0.4,exp_decay,150,0,1718941232,30.0,2155,3905.0,0.39004266701522283
1000,10000,30,0.4,exp_decay,150,1,1718941232,30.0,2155,3905.0,0.39004266701522283
1000,10000,30,0.4,exp_decay,150,2,1718941232,30.0,2155,3905.0,0.39004266701522283
1000,10000,30,0.4,geom_decay,150,0,1718941235,30.0,1258,2107.0,0.13770008299616165
1000,10000,30,0.4,geom_decay,150,1,1718941235,30.0,1258,2107.0,0.13770008299616165
1000,10000,30,0.4,geom_decay,150,2,1718941235,30.0,1258,2107.0,0.13770008299616165
1000,10000,30,0.4,arith_decay,150,0,1718941237,14.0,10000,20000.0,8.223716542008333
1000,10000,30,0.4,arith_decay,150,1,1718941237,14.0,10000,20000.0,8.223716542008333
1000,10000,30,0.4,arith_decay,150,2,1718941237,14.0,10000,20000.0,8.223716542008333
10000,10000,30,0.4,exp_decay,150,0,1718941263,30.0,2506,4621.0,0.526708833000157
10000,10000,30,0.4,exp_decay,150,1,1718941263,30.0,2506,4621.0,0.526708833000157
10000,10000,30,0.4,exp_decay,150,2,1718941263,30.0,2506,4621.0,0.526708833000157
10000,10000,30,0.4,geom_decay,150,0,1718941266,30.0,1598,2763.0,0.2183565000013914
10000,10000,30,0.4,geom_decay,150,1,1718941266,30.0,1598,2763.0,0.2183565000013914
10000,10000,30,0.4,geom_decay,150,2,1718941266,30.0,1598,2763.0,0.2183565000013914
10000,10000,30,0.4,arith_decay,150,0,1718941269,12.0,10000,20000.0,8.19381566697848
10000,10000,30,0.4,arith_decay,150,1,1718941269,12.0,10000,20000.0,8.19381566697848
10000,10000,30,0.4,arith_decay,150,2,1718941269,12.0,10000,20000.0,8.19381566697848
