Population Size,Mutation Rate,max_iters,problem_size,max_attempts,run_number,group_timestamp,total_runtime,optimal_fitness,max_fitness,total_iterations,max_fevals
100,0.5,10000,10,50,0,1719205043,0.8375391659792513,24.0,23.0,82,8386.0
100,0.5,10000,10,50,1,1719205043,0.6181403329828754,24.0,23.0,82,8386.0
100,0.5,10000,10,50,2,1719205043,0.6429374580038711,24.0,23.0,82,8386.0
100,0.5,10000,30,150,0,1719205046,8.529661750013474,84.0,83.0,384,38900.0
100,0.5,10000,30,150,1,1719205046,9.721353208005894,84.0,83.0,384,38900.0
100,0.5,10000,30,150,2,1719205046,6.969191459007561,84.0,83.0,384,38900.0
100,0.5,10000,50,250,0,1719205072,25.37558795802761,144.0,144.0,747,75572.0
100,0.5,10000,50,250,1,1719205072,25.051252125005703,144.0,144.0,747,75572.0
100,0.5,10000,50,250,2,1719205072,30.88354412501212,144.0,144.0,747,75572.0
100,0.5,10000,100,500,0,1719205154,151.1443902499741,294.0,293.0,1903,192356.0
100,0.5,10000,100,500,1,1719205154,100.17947237502084,294.0,293.0,1903,192356.0
100,0.5,10000,100,500,2,1719205154,73.90416270802962,294.0,293.0,1903,192356.0
100,0.5,10000,200,1000,0,1719205480,703.3260450829985,594.0,589.0,4290,433477.0
100,0.5,10000,200,1000,1,1719205480,622.3715035420028,594.0,589.0,4290,433477.0
100,0.5,10000,200,1000,2,1719205480,666.3435729580233,594.0,589.0,4290,433477.0